# Common Google and GitHub Dorks for Security Research
# Format: dork_type,dork,description

# Google Dorks - Sensitive Files
shodan,product:"SIP",Find SIP services
shodan,product:"VoIP",Find VoIP services
shodan,product:"SCADA",Find SCADA systems
shodan,product:"ICS",Find Industrial Control Systems
shodan,product:"PLC",Find Programmable Logic Controllers
shodan,product:"HMI",Find Human Machine Interfaces
shodan,product:"IoT",Find Internet of Things devices
shodan,product:"Camera",Find IP cameras
shodan,product:"DVR",Find Digital Video Recorders
shodan,product:"NVR",Find Network Video Recorders
shodan,product:"Printer",Find printers
shodan,product:"Router",Find routers
shodan,product:"Switch",Find switches
shodan,product:"Firewall",Find firewalls
shodan,product:"VPN",Find VPN services
shodan,product:"WAF",Find Web Application Firewalls
shodan,product:"IDS",Find Intrusion Detection Systems
shodan,product:"IPS",Find Intrusion Prevention Systems
shodan,product:"UTM",Find Unified Threat Management systems
shodan,product:"SIEM",Find Security Information and Event Management systems
shodan,product:"DLP",Find Data Loss Prevention systems
shodan,product:"EDR",Find Endpoint Detection and Response systems
shodan,product:"AV",Find Antivirus systems
shodan,product:"MDM",Find Mobile Device Management systems
shodan,product:"NAC",Find Network Access Control systems
shodan,product:"PAM",Find Privileged Access Management systems
shodan,product:"IAM",Find Identity and Access Management systems
shodan,product:"SSO",Find Single Sign-On systems
shodan,product:"MFA",Find Multi-Factor Authentication systems
shodan,product:"2FA",Find Two-Factor Authentication systems
shodan,product:"OTP",Find One-Time Password systems
shodan,product:"TOTP",Find Time-based One-Time Password systems
shodan,product:"HOTP",Find HMAC-based One-Time Password systems
shodan,product:"RADIUS",Find RADIUS servers
shodan,product:"TACACS",Find TACACS servers
shodan,product:"Kerberos",Find Kerberos servers
shodan,product:"SAML",Find SAML services
shodan,product:"OAuth",Find OAuth services
shodan,product:"OpenID",Find OpenID services
shodan,product:"JWT",Find JWT services
shodan,product:"API",Find API services
shodan,product:"REST",Find REST services
shodan,product:"SOAP",Find SOAP services
shodan,product:"GraphQL",Find GraphQL services
shodan,product:"gRPC",Find gRPC services
shodan,product:"WebSocket",Find WebSocket services
shodan,product:"WebRTC",Find WebRTC services
shodan,product:"MQTT",Find MQTT services
shodan,product:"AMQP",Find AMQP services
shodan,product:"Kafka",Find Kafka services
shodan,product:"RabbitMQ",Find RabbitMQ services
shodan,product:"ZeroMQ",Find ZeroMQ services
shodan,product:"NATS",Find NATS services
shodan,product:"STOMP",Find STOMP services
shodan,product:"JMS",Find JMS services
shodan,product:"XMPP",Find XMPP services
shodan,product:"IRC",Find IRC services
shodan,product:"IMAP",Find IMAP services
shodan,product:"POP3",Find POP3 services
shodan,product:"SMTP",Find SMTP services
shodan,product:"NNTP",Find NNTP services
shodan,product:"RSS",Find RSS services
shodan,product:"Atom",Find Atom services
shodan,product:"WebDAV",Find WebDAV services
shodan,product:"CalDAV",Find CalDAV services
shodan,product:"CardDAV",Find CardDAV services
shodan,product:"LDAP",Find LDAP services
shodan,product:"DHCP",Find DHCP services
shodan,product:"DNS",Find DNS services
shodan,product:"NTP",Find NTP services
shodan,product:"SNMP",Find SNMP services
shodan,product:"TFTP",Find TFTP services
shodan,product:"NFS",Find NFS services
shodan,product:"SMB",Find SMB services
shodan,product:"AFP",Find AFP services
shodan,product:"CIFS",Find CIFS services
shodan,product:"iSCSI",Find iSCSI services
shodan,product:"FCoE",Find FCoE services
shodan,product:"SAN",Find SAN services
shodan,product:"NAS",Find NAS services
shodan,product:"DAS",Find DAS services
shodan,product:"RAID",Find RAID services
shodan,product:"Backup",Find Backup services
shodan,product:"Archive",Find Archive services
shodan,product:"Storage",Find Storage services
shodan,product:"Cloud",Find Cloud services
shodan,product:"CDN",Find CDN services
shodan,product:"Load Balancer",Find Load Balancer services
shodan,product:"Proxy",Find Proxy services
shodan,product:"Reverse Proxy",Find Reverse Proxy services
shodan,product:"WAF",Find WAF services
shodan,product:"Cache",Find Cache services
shodan,product:"CDN",Find CDN services
shodan,product:"DDoS",Find DDoS protection services
shodan,product:"Firewall",Find Firewall services
shodan,product:"IDS",Find IDS services
shodan,product:"IPS",Find IPS services
shodan,product:"UTM",Find UTM services
shodan,product:"SIEM",Find SIEM services
shodan,product:"SOC",Find SOC services
shodan,product:"NOC",Find NOC services
shodan,product:"MDR",Find MDR services
shodan,product:"XDR",Find XDR services
shodan,product:"EDR",Find EDR services
shodan,product:"EPP",Find EPP services
shodan,product:"AV",Find AV services
shodan,product:"DLP",Find DLP services
shodan,product:"CASB",Find CASB services
shodan,product:"CSPM",Find CSPM services
shodan,product:"CWPP",Find CWPP services
shodan,product:"CNAPP",Find CNAPP services
shodan,product:"CIEM",Find CIEM services
shodan,product:"IAM",Find IAM services
shodan,product:"PAM",Find PAM services
shodan,product:"PIM",Find PIM services
shodan,product:"PUM",Find PUM services
shodan,product:"SSO",Find SSO services
shodan,product:"MFA",Find MFA services
shodan,product:"2FA",Find 2FA services
shodan,product:"OTP",Find OTP services
shodan,product:"TOTP",Find TOTP services
shodan,product:"HOTP",Find HOTP services
shodan,product:"RADIUS",Find RADIUS services
shodan,product:"TACACS",Find TACACS services
shodan,product:"Kerberos",Find Kerberos services
shodan,product:"SAML",Find SAML services
shodan,product:"OAuth",Find OAuth services
shodan,product:"OpenID",Find OpenID services
shodan,product:"JWT",Find JWT services
shodan,product:"API",Find API services
shodan,product:"REST",Find REST services
shodan,product:"SOAP",Find SOAP services
shodan,product:"GraphQL",Find GraphQL services
shodan,product:"gRPC",Find gRPC services
shodan,product:"WebSocket",Find WebSocket services
shodan,product:"WebRTC",Find WebRTC services
shodan,product:"MQTT",Find MQTT services
shodan,product:"AMQP",Find AMQP services
shodan,product:"Kafka",Find Kafka services
shodan,product:"RabbitMQ",Find RabbitMQ services
shodan,product:"ZeroMQ",Find ZeroMQ services
shodan,product:"NATS",Find NATS services
shodan,product:"STOMP",Find STOMP services
shodan,product:"JMS",Find JMS services
shodan,product:"XMPP",Find XMPP services
shodan,product:"IRC",Find IRC services
