# Security Tools and Utilities
# Format: category,tool_name,description,common_usage,url

# Reconnaissance Tools
# Vulnerability Scanning Tools
Vulnerability,Nessus,Comprehensive vulnerability scanner,Network vulnerability scanning compliance checking and security auditing,https://www.tenable.com/products/nessus
Vulnerability,OpenVAS,Open-source vulnerability scanner,Network vulnerability scanning and security auditing,https://www.openvas.org
Vulnerability,Nexpose,Vulnerability management solution,Vulnerability scanning risk assessment and compliance checking,https://www.rapid7.com/products/nexpose
Vulnerability,Qualys,Cloud-based vulnerability management,Vulnerability scanning compliance checking and security auditing,https://www.qualys.com
Vulnerability,Nikto,Web server scanner,Web server vulnerability scanning and security testing,https://cirt.net/Nikto2
Vulnerability,OWASP ZAP,Web application security scanner,Web application vulnerability scanning penetration testing and security analysis,https://www.zaproxy.org
Vulnerability,Acunetix,Web vulnerability scanner,Web application security testing and vulnerability scanning,https://www.acunetix.com
Vulnerability,Burp Suite,Web vulnerability scanner and proxy,Web application security testing intercepting proxy and vulnerability scanning,https://portswigger.net/burp
Vulnerability,Arachni,Web application security scanner framework,Web application vulnerability scanning and security testing,https://www.arachni-scanner.com
Vulnerability,Wapiti,Web application vulnerability scanner,Web application security auditing and vulnerability detection,https://wapiti.sourceforge.io
Vulnerability,SQLmap,Automatic SQL injection tool,SQL injection detection and exploitation,https://sqlmap.org
Vulnerability,WPScan,WordPress vulnerability scanner,WordPress security scanning plugin enumeration and vulnerability detection,https://wpscan.org
Vulnerability,Joomscan,Joomla vulnerability scanner,Joomla security scanning and vulnerability detection,https://github.com/OWASP/joomscan
Vulnerability,Nuclei,Template-based vulnerability scanner,Fast and customizable vulnerability scanning,https://github.com/projectdiscovery/nuclei
Vulnerability,Retire.js,Scanner for vulnerable JavaScript libraries,Detecting vulnerable JavaScript libraries in web applications,https://github.com/RetireJS/retire.js
Vulnerability,Dependency-Check,Software composition analysis tool,Identifying vulnerable components and dependencies,https://owasp.org/www-project-dependency-check
Vulnerability,Grype,Container image vulnerability scanner,Scanning container images for known vulnerabilities,https://github.com/anchore/grype
Vulnerability,Trivy,Comprehensive vulnerability scanner for containers,Container image vulnerability scanning and security auditing,https://github.com/aquasecurity/trivy
Vulnerability,Snyk,Developer security platform,Vulnerability scanning for code dependencies containers and infrastructure as code,https://snyk.io
Vulnerability,Lynis,Security auditing tool for Unix/Linux systems,System hardening compliance testing and vulnerability scanning,https://cisofy.com/lynis

# Web Application Security Tools
WebApp,OWASP ZAP,Web application security scanner,Web application vulnerability scanning penetration testing and security analysis,https://www.zaproxy.org
WebApp,Burp Suite,Web vulnerability scanner and proxy,Web application security testing intercepting proxy and vulnerability scanning,https://portswigger.net/burp
WebApp,Nikto,Web server scanner,Web server vulnerability scanning and security testing,https://cirt.net/Nikto2
WebApp,SQLmap,Automatic SQL injection tool,SQL injection detection and exploitation,https://sqlmap.org
WebApp,OWASP Amass,Network mapping of attack surfaces and external asset discovery,Subdomain enumeration DNS analysis and asset discovery,https://github.com/OWASP/Amass
WebApp,Dirb,Web content scanner,Web directory and file brute forcing and discovery,http://dirb.sourceforge.net
WebApp,Gobuster,Directory/file DNS and VHost busting tool,Web content discovery subdomain enumeration and virtual host discovery,https://github.com/OJ/gobuster
WebApp,Wfuzz,Web application fuzzer,Web application fuzzing parameter discovery and brute forcing,https://github.com/xmendez/wfuzz
WebApp,XSStrike,Advanced XSS detection suite,Cross-site scripting detection and exploitation,https://github.com/s0md3v/XSStrike
WebApp,Commix,Command injection exploitation tool,Detecting and exploiting command injection vulnerabilities,https://github.com/commixproject/commix
WebApp,WPScan,WordPress vulnerability scanner,WordPress security scanning plugin enumeration and vulnerability detection,https://wpscan.org
WebApp,Joomscan,Joomla vulnerability scanner,Joomla security scanning and vulnerability detection,https://github.com/OWASP/joomscan
WebApp,Droopescan,Scanner for CMS vulnerabilities,Drupal Joomla and WordPress vulnerability scanning,https://github.com/droope/droopescan
WebApp,Skipfish,Web application security reconnaissance tool,Active web application security reconnaissance,https://code.google.com/archive/p/skipfish
WebApp,w3af,Web Application Attack and Audit Framework,Web application vulnerability scanning and exploitation,https://github.com/andresriancho/w3af
WebApp,OWASP Juice Shop,Intentionally vulnerable web application,Web application security training and testing,https://owasp.org/www-project-juice-shop
WebApp,DVWA,Damn Vulnerable Web Application,Web application security training and testing,https://github.com/digininja/DVWA
WebApp,bWAPP,Buggy Web Application,Web application security training and testing,https://github.com/raesene/bWAPP
WebApp,WebGoat,Deliberately insecure web application,Web application security training and testing,https://owasp.org/www-project-webgoat
WebApp,ModSecurity,Web application firewall,Web application protection and security monitoring,https://modsecurity.org

# Network Security Tools
Network,Wireshark,Network protocol analyzer,Network traffic analysis packet capture and protocol inspection,https://www.wireshark.org
Network,Tcpdump,Command-line packet analyzer,Network traffic capture and analysis,https://www.tcpdump.org
Network,Snort,Network intrusion detection and prevention system,Network traffic monitoring intrusion detection and prevention,https://www.snort.org
Network,Suricata,Network security monitoring engine,Network traffic analysis intrusion detection and prevention,https://suricata-ids.org
Network,Zeek (Bro),Network security monitor,Network traffic analysis security monitoring and anomaly detection,https://zeek.org
Network,Kismet,Wireless network detector and sniffer,Wireless network discovery monitoring and intrusion detection,https://www.kismetwireless.net
Network,Aircrack-ng,Wireless network security assessment tools,Wireless network monitoring packet capture and cracking,https://www.aircrack-ng.org
Network,Nmap,Network scanning and host discovery tool,Port scanning service detection OS fingerprinting and vulnerability scanning,https://nmap.org
Network,Netcat,Networking utility for reading and writing network connections,Network connection testing port scanning and data transfer,Various implementations
Network,hping,Command-line packet crafting and analysis tool,Network testing firewall testing and advanced packet manipulation,http://www.hping.org
Network,Scapy,Packet manipulation program,Packet crafting network scanning and network discovery,https://scapy.net
Network,Ettercap,Comprehensive suite for man-in-the-middle attacks,Network sniffing content filtering and connection hijacking,https://www.ettercap-project.org
Network,Bettercap,Network attack and monitoring framework,Network reconnaissance man-in-the-middle attacks and monitoring,https://www.bettercap.org
Network,Responder,LLMNR NBT-NS and MDNS poisoner,Network poisoning credential harvesting and man-in-the-middle attacks,https://github.com/lgandx/Responder
Network,Yersinia,Network protocol attack tool,Layer 2 protocol attacks and testing,https://github.com/tomac/yersinia
Network,p0f,Passive OS fingerprinting tool,Passive operating system detection and network reconnaissance,https://lcamtuf.coredump.cx/p0f3
Network,Masscan,Fast port scanner,Mass IP port scanning and network discovery,https://github.com/robertdavidgraham/masscan
Network,OpenSSH,Secure shell protocol implementation,Secure remote access and file transfer,https://www.openssh.com
Network,OpenVPN,Open-source VPN solution,Secure network tunneling and remote access,https://openvpn.net
Network,pfSense,Open-source firewall and router,Network security routing and firewall functionality,https://www.pfsense.org

# Exploitation Tools
Exploitation,Metasploit Framework,Penetration testing framework,Vulnerability exploitation payload generation and post-exploitation,https://www.metasploit.com
Exploitation,BeEF,Browser Exploitation Framework,Client-side attack vector and browser exploitation,https://beefproject.com
Exploitation,Empire,PowerShell and Python post-exploitation framework,Post-exploitation agent and control framework,https://github.com/BC-SECURITY/Empire
Exploitation,Cobalt Strike,Adversary simulation and red team operations software,Advanced penetration testing and adversary simulation,https://www.cobaltstrike.com
Exploitation,PowerSploit,PowerShell post-exploitation framework,Windows post-exploitation and privilege escalation,https://github.com/PowerShellMafia/PowerSploit
Exploitation,Pupy,Remote administration tool and post-exploitation framework,Cross-platform remote administration and post-exploitation,https://github.com/n1nj4sec/pupy
Exploitation,TheFatRat,Easy-to-use exploitation tool,Backdoor creation and payload generation,https://github.com/Screetsec/TheFatRat
Exploitation,Veil,Tool to generate undetectable payloads,Payload generation and AV evasion,https://github.com/Veil-Framework/Veil
Exploitation,Koadic,Windows post-exploitation rootkit,COM command and control framework,https://github.com/zerosum0x0/koadic
Exploitation,Routersploit,Exploitation framework for embedded devices,Router and IoT device exploitation,https://github.com/threat9/routersploit
Exploitation,PRET,Printer Exploitation Toolkit,Printer security testing and exploitation,https://github.com/RUB-NDS/PRET
Exploitation,Unicorn,PowerShell downgrade attack and injection tool,PowerShell attack vector and payload delivery,https://github.com/trustedsec/unicorn
Exploitation,Shellter,Dynamic shellcode injection tool,Payload injection and AV evasion,https://www.shellterproject.com
Exploitation,SET,Social-Engineer Toolkit,Social engineering attacks and phishing campaigns,https://github.com/trustedsec/social-engineer-toolkit
Exploitation,Mimikatz,Tool for extracting credentials from Windows,Credential harvesting pass-the-hash and token manipulation,https://github.com/gentilkiwi/mimikatz
Exploitation,CrackMapExec,Post-exploitation tool,Network lateral movement and credential harvesting,https://github.com/byt3bl33d3r/CrackMapExec
Exploitation,Responder,LLMNR NBT-NS and MDNS poisoner,Network poisoning credential harvesting and man-in-the-middle attacks,https://github.com/lgandx/Responder
Exploitation,Impacket,Collection of Python classes for working with network protocols,Network protocol manipulation and exploitation,https://github.com/SecureAuthCorp/impacket
Exploitation,Covenant,.NET command and control framework,Post-exploitation agent and control framework,https://github.com/cobbr/Covenant
Exploitation,Sliver,Cross-platform adversary emulation framework,Red team operations and adversary emulation,https://github.com/BishopFox/sliver

# Password Attacks
Password,Hashcat,Advanced password recovery tool,Password cracking hash identification and rule-based attacks,https://hashcat.net
Password,John the Ripper,Password cracking tool,Password auditing and recovery,https://www.openwall.com/john
Password,Hydra,Online password cracking tool,Online brute force attacks against various protocols,https://github.com/vanhauser-thc/thc-hydra
Password,Medusa,Parallel network login auditor,Online brute force attacks and password auditing,http://foofus.net/goons/jmk/medusa/medusa.html
Password,Patator,Multi-purpose brute-forcer,Flexible brute force attacks against various services,https://github.com/lanjelot/patator
Password,Aircrack-ng,Wireless network security assessment tools,WEP and WPA-PSK key cracking,https://www.aircrack-ng.org
Password,Ophcrack,Windows password cracker,Windows password recovery using rainbow tables,https://ophcrack.sourceforge.io
Password,RainbowCrack,Hash cracker using rainbow tables,Password recovery using precomputed tables,http://project-rainbowcrack.com
Password,CeWL,Custom word list generator,Creating custom wordlists from web content,https://github.com/digininja/CeWL
Password,Mentalist,Graphical wordlist generator,Creating custom wordlists with rules and mutations,https://github.com/sc0tfree/mentalist
Password,Hashcat-utils,Utilities for hashcat,Hash manipulation and wordlist generation,https://github.com/hashcat/hashcat-utils
Password,Mimikatz,Tool for extracting credentials from Windows,Credential harvesting pass-the-hash and token manipulation,https://github.com/gentilkiwi/mimikatz
Password,KeeFarce,Extracts passwords from KeePass password manager,Memory extraction of KeePass credentials,https://github.com/denandz/KeeFarce
Password,LaZagne,Credential recovery project,Retrieving stored passwords from local applications,https://github.com/AlessandroZ/LaZagne
Password,Crowbar,Brute forcing tool,SSH RDP VNC and OpenVPN brute forcing,https://github.com/galkan/crowbar
Password,BruteSpray,Brute-force attack tool from Nmap output,Service credential brute forcing based on Nmap results,https://github.com/x90skysn3k/brutespray
Password,Spray,Password spraying tool for Active Directory,Active Directory password spraying attacks,https://github.com/Greenwolf/Spray
Password,Hashid,Hash identifier tool,Identifying hash types for password cracking,https://github.com/psypanda/hashID
Password,Cain and Abel,Password recovery tool for Windows,Password cracking network sniffing and protocol analysis,http://www.oxid.it/cain.html
Password,L0phtCrack,Password auditing and recovery tool,Windows password auditing and recovery,https://www.l0phtcrack.com

# Wireless Security Tools
Wireless,Aircrack-ng,Wireless network security assessment tools,WEP and WPA-PSK key cracking network analysis and packet capture,https://www.aircrack-ng.org
Wireless,Kismet,Wireless network detector and sniffer,Wireless network discovery monitoring and intrusion detection,https://www.kismetwireless.net
Wireless,Wifite,Automated wireless attack tool,Simplified wireless auditing and attack automation,https://github.com/derv82/wifite2
Wireless,Fern Wifi Cracker,Wireless security auditing tool,Wireless network discovery and key cracking,https://github.com/savio-code/fern-wifi-cracker
Wireless,Airgeddon,Multi-use bash script for Linux systems to audit wireless networks,Comprehensive wireless auditing and attack framework,https://github.com/v1s1t0r1sh3r3/airgeddon
Wireless,Fluxion,Social engineering based WPA/WPA2 attack tool,Wireless key capture through fake authentication portals,https://github.com/FluxionNetwork/fluxion
Wireless,Bully,WPS brute force attack tool,WPS PIN brute forcing and vulnerability exploitation,https://github.com/aanarchyy/bully
Wireless,Reaver,WPS brute force attack tool,WPS PIN brute forcing and vulnerability exploitation,https://github.com/t6x/reaver-wps-fork-t6x
Wireless,Pixiewps,Offline WPS brute force tool,Exploiting WPS vulnerabilities without extensive brute forcing,https://github.com/wiire-a/pixiewps
Wireless,WiFi-Pumpkin,Framework for rogue access point attacks,Creating evil twin attacks and wireless man-in-the-middle,https://github.com/P0cL4bs/WiFi-Pumpkin
Wireless,Wireshark,Network protocol analyzer,Wireless packet capture and protocol analysis,https://www.wireshark.org
Wireless,Airsnort,Wireless LAN (WLAN) tool,WEP key recovery through packet capture and analysis,https://sourceforge.net/projects/airsnort
Wireless,Wifiphisher,Automated phishing attacks against WiFi networks,Social engineering attacks against wireless networks,https://github.com/wifiphisher/wifiphisher
Wireless,Horst,Lightweight IEEE 802.11 wireless LAN analyzer,Real-time wireless network monitoring and analysis,https://github.com/br101/horst
Wireless,Wifi Honey,Management tool for wifi honeypots,Creating wireless honeypots for attacker detection,https://github.com/samothrakes/wifi-honey
Wireless,Bluelog,Bluetooth scanner and logger,Bluetooth device discovery and monitoring,https://github.com/MS3FGX/Bluelog
Wireless,Bluesnarfer,Bluetooth information disclosure tool,Extracting information from Bluetooth devices,https://tools.kali.org/wireless-attacks/bluesnarfer
Wireless,Spooftooph,Bluetooth spoofing utility,Cloning and spoofing Bluetooth device information,https://tools.kali.org/wireless-attacks/spooftooph
Wireless,Airjack,802.11 packet injection tool,Wireless packet injection and network manipulation,https://sourceforge.net/projects/airjack
Wireless,MDK3,Wireless attack tool,Wireless beacon flooding deauthentication and testing,https://github.com/aircrack-ng/mdk3

# Forensics Tools
Forensics,Autopsy,Digital forensics platform,Disk image analysis file recovery and timeline analysis,https://www.autopsy.com
Forensics,The Sleuth Kit,Collection of command line tools for forensics,File system analysis and investigation,https://www.sleuthkit.org
Forensics,Volatility,Memory forensics framework,Memory dump analysis and investigation,https://www.volatilityfoundation.org
Forensics,FTK Imager,Forensic imaging tool,Disk imaging and preview,https://accessdata.com/product-download/ftk-imager-version-4-5
Forensics,dd,Unix disk imaging utility,Bit-by-bit disk imaging and forensic acquisition,Various implementations
Forensics,Foremost,File recovery program,Data carving and file recovery,http://foremost.sourceforge.net
Forensics,Scalpel,File carving tool,Data carving and file recovery,https://github.com/sleuthkit/scalpel
Forensics,Bulk Extractor,Feature extraction tool,Extracting information from disk images without parsing file system,https://github.com/simsong/bulk_extractor
Forensics,Binwalk,Firmware analysis tool,Extracting and analyzing embedded files and executable code,https://github.com/ReFirmLabs/binwalk
Forensics,ExifTool,Metadata extraction and analysis tool,Extracting and manipulating metadata from files,https://exiftool.org
Forensics,Rekall,Memory forensic framework,Memory analysis and investigation,https://github.com/google/rekall
Forensics,CAINE,Computer Aided INvestigative Environment,Complete forensic environment with various tools,https://www.caine-live.net
Forensics,DEFT,Digital Evidence & Forensic Toolkit,Linux distribution for computer forensics,http://www.deftlinux.net
Forensics,SIFT Workstation,SANS Investigative Forensic Toolkit,Collection of forensic tools for detailed examinations,https://digital-forensics.sans.org/community/downloads
Forensics,OSForensics,Comprehensive computer forensics tool,File analysis registry examination and forensic investigation,https://www.osforensics.com
Forensics,Xplico,Network forensic analysis tool,Internet traffic decoder and protocol analyzer,https://www.xplico.org
Forensics,NetworkMiner,Network forensic analysis tool,Network traffic analysis and artifact extraction,https://www.netresec.com/?page=NetworkMiner
Forensics,WireShark,Network protocol analyzer,Network traffic capture and analysis,https://www.wireshark.org
Forensics,RegRipper,Windows registry analysis tool,Registry extraction and analysis,https://github.com/keydet89/RegRipper3.0
Forensics,Plaso,Super timeline creation tool,Timeline creation and analysis,https://github.com/log2timeline/plaso

# Reverse Engineering Tools
ReverseEngineering,Ghidra,Software reverse engineering framework,Disassembly decompilation and analysis of binary files,https://ghidra-sre.org
ReverseEngineering,IDA Pro,Interactive disassembler and debugger,Binary code analysis and reverse engineering,https://www.hex-rays.com/products/ida
ReverseEngineering,Radare2,Reverse engineering framework,Disassembly debugging and analysis of binary files,https://rada.re/n
ReverseEngineering,Binary Ninja,Binary analysis platform,Reverse engineering and binary analysis,https://binary.ninja
ReverseEngineering,GDB,GNU Debugger,Debugging and reverse engineering,https://www.gnu.org/software/gdb
ReverseEngineering,OllyDbg,x86 debugger for Windows,Binary analysis and debugging,http://www.ollydbg.de
ReverseEngineering,x64dbg,Open-source x64/x32 debugger for Windows,Binary analysis and debugging,https://x64dbg.com
ReverseEngineering,Immunity Debugger,Debugger with built-in assembler,Malware analysis and exploit development,https://www.immunityinc.com/products/debugger
ReverseEngineering,PEDA,Python Exploit Development Assistance for GDB,Enhanced debugging environment for exploit development,https://github.com/longld/peda
ReverseEngineering,Frida,Dynamic instrumentation toolkit,Runtime code manipulation and hooking,https://frida.re
ReverseEngineering,Apktool,Tool for reverse engineering Android APK files,Decompiling and rebuilding Android applications,https://ibotpeaches.github.io/Apktool
ReverseEngineering,dex2jar,Tools to work with Android .dex and Java .class files,Converting Android DEX files to Java JAR files,https://github.com/pxb1988/dex2jar
ReverseEngineering,JD-GUI,Java decompiler GUI,Decompiling Java class files to source code,https://java-decompiler.github.io
ReverseEngineering,dnSpy,.NET debugger and assembly editor,Decompiling and debugging .NET applications,https://github.com/dnSpy/dnSpy
ReverseEngineering,Hopper,Disassembler for macOS and Linux,Reverse engineering and binary analysis,https://www.hopperapp.com
ReverseEngineering,Cutter,Free and open-source GUI for Radare2,Reverse engineering and binary analysis,https://cutter.re
ReverseEngineering,Snowman,Native code to C/C++ decompiler,Decompiling binary files to C/C++ source code,https://github.com/yegord/snowman
ReverseEngineering,Capstone,Disassembly framework,Multi-architecture disassembly engine,https://www.capstone-engine.org
ReverseEngineering,Unicorn,CPU emulator framework,Emulating CPU instructions for dynamic analysis,https://www.unicorn-engine.org
ReverseEngineering,QEMU,Generic machine emulator and virtualizer,Full system emulation for dynamic analysis,https://www.qemu.org

# Social Engineering Tools
SocialEngineering,SET,Social-Engineer Toolkit,Social engineering attacks and phishing campaigns,https://github.com/trustedsec/social-engineer-toolkit
SocialEngineering,Gophish,Open-source phishing framework,Phishing campaigns and awareness training,https://getgophish.com
SocialEngineering,King Phisher,Phishing campaign toolkit,Creating and managing phishing campaigns,https://github.com/rsmusllp/king-phisher
SocialEngineering,Phishing Frenzy,Open-source phishing framework,Phishing campaign management and tracking,https://github.com/pentestgeek/phishing-frenzy
SocialEngineering,SocialFish,Educational phishing tool,Creating phishing pages for awareness training,https://github.com/UndeadSec/SocialFish
SocialEngineering,Maltego,Interactive data mining tool,Gathering information for social engineering attacks,https://www.maltego.com
SocialEngineering,SpiderFoot,Automated OSINT collection tool,Gathering intelligence for social engineering,https://www.spiderfoot.net
SocialEngineering,theHarvester,Tool for gathering email accounts and information,Email harvesting for social engineering attacks,https://github.com/laramies/theHarvester
SocialEngineering,Recon-ng,Web reconnaissance framework,Gathering information for social engineering attacks,https://github.com/lanmaster53/recon-ng
SocialEngineering,Beef-XSS,Browser Exploitation Framework,Client-side attacks and social engineering,https://beefproject.com
SocialEngineering,Wifiphisher,Automated phishing attacks against WiFi networks,Social engineering attacks against wireless networks,https://github.com/wifiphisher/wifiphisher
SocialEngineering,Lucy,Phishing simulation and awareness platform,Security awareness training and phishing simulations,https://lucysecurity.com
SocialEngineering,Evilginx2,Man-in-the-middle attack framework,Advanced phishing attacks with session hijacking,https://github.com/kgretzky/evilginx2
SocialEngineering,Modlishka,Reverse proxy for phishing,Advanced phishing with real-time session hijacking,https://github.com/drk1wi/Modlishka
SocialEngineering,ShellPhish,Phishing tool with 30+ templates,Creating phishing pages for various services,https://github.com/suljot/shellphish
SocialEngineering,BlackEye,Phishing tool with multiple templates,Creating phishing pages for various services,https://github.com/thelinuxchoice/blackeye
SocialEngineering,PhishX,Full-featured phishing tool,Creating and managing phishing campaigns,https://github.com/rezaaksa/PhishX
SocialEngineering,HiddenEye,Modern phishing tool with advanced features,Creating phishing pages with keylogging and location tracking,https://github.com/DarkSecDevelopers/HiddenEye
SocialEngineering,Zphisher,Automated phishing tool,Creating phishing pages for various services,https://github.com/htr-tech/zphisher
SocialEngineering,Nexphisher,Advanced phishing tool,Creating phishing pages with multiple templates,https://github.com/htr-tech/nexphisher

# Defensive Security Tools
Defensive,Snort,Network intrusion detection and prevention system,Network traffic monitoring intrusion detection and prevention,https://www.snort.org
Defensive,Suricata,Network security monitoring engine,Network traffic analysis intrusion detection and prevention,https://suricata-ids.org
Defensive,Zeek (Bro),Network security monitor,Network traffic analysis security monitoring and anomaly detection,https://zeek.org
Defensive,OSSEC,Host-based intrusion detection system,File integrity monitoring log analysis and rootkit detection,https://www.ossec.net
Defensive,Wazuh,Security monitoring solution,Threat detection vulnerability detection and security monitoring,https://wazuh.com
Defensive,Fail2ban,Intrusion prevention framework,Protecting servers from brute force attacks,https://www.fail2ban.org
Defensive,ModSecurity,Web application firewall,Web application protection and security monitoring,https://modsecurity.org
Defensive,OWASP ModSecurity Core Rule Set,Rules for ModSecurity,Protecting web applications from common attacks,https://coreruleset.org
Defensive,pfSense,Open-source firewall and router,Network security routing and firewall functionality,https://www.pfsense.org
Defensive,OPNsense,Open-source firewall and routing platform,Network security routing and firewall functionality,https://opnsense.org
Defensive,Security Onion,Linux distribution for threat hunting and security monitoring,Network security monitoring intrusion detection and log management,https://securityonion.net
Defensive,TheHive,Scalable security incident response platform,Security incident response case management and analysis,https://thehive-project.org
Defensive,MISP,Malware Information Sharing Platform,Threat intelligence sharing and correlation,https://www.misp-project.org
Defensive,Cuckoo Sandbox,Automated malware analysis system,Dynamic malware analysis and behavior monitoring,https://cuckoosandbox.org
Defensive,YARA,Pattern matching tool for malware researchers,Malware identification and classification,https://virustotal.github.io/yara
Defensive,ClamAV,Open-source antivirus engine,Malware detection and prevention,https://www.clamav.net
Defensive,OpenVAS,Open-source vulnerability scanner,Network vulnerability scanning and security auditing,https://www.openvas.org
Defensive,Lynis,Security auditing tool for Unix/Linux systems,System hardening compliance testing and vulnerability scanning,https://cisofy.com/lynis
Defensive,Tripwire,File integrity monitoring software,File system monitoring and change detection,https://github.com/Tripwire/tripwire-open-source
Defensive,Sysmon,Windows system monitoring tool,Enhanced system monitoring and logging for Windows,https://docs.microsoft.com/en-us/sysinternals/downloads/sysmon

# Cloud Security Tools
Cloud,Scout Suite,Multi-cloud security auditing tool,Security auditing for AWS Azure and GCP,https://github.com/nccgroup/ScoutSuite
Cloud,Prowler,AWS security assessment tool,Security best practices assessment for AWS,https://github.com/toniblyx/prowler
Cloud,CloudSploit,Cloud security configuration scanner,Security auditing for AWS Azure GCP and Oracle Cloud,https://github.com/aquasecurity/cloudsploit
Cloud,Pacu,AWS exploitation framework,Testing the security of AWS environments,https://github.com/RhinoSecurityLabs/pacu
Cloud,CloudGoat,Vulnerable-by-design AWS deployment tool,AWS security training and testing,https://github.com/RhinoSecurityLabs/cloudgoat
Cloud,AzureHound,Azure security assessment tool,Identifying attack paths in Azure AD environments,https://github.com/BloodHoundAD/AzureHound
Cloud,GCPBucketBrute,Google Cloud Storage bucket finder,Discovering open Google Cloud Storage buckets,https://github.com/RhinoSecurityLabs/GCPBucketBrute
Cloud,S3Scanner,Amazon S3 bucket scanner,Discovering open Amazon S3 buckets,https://github.com/sa7mon/S3Scanner
Cloud,CloudMapper,AWS visualization tool,Creating network diagrams of AWS environments,https://github.com/duo-labs/cloudmapper
Cloud,Checkov,Infrastructure as Code static analysis tool,Security and compliance scanning for Terraform CloudFormation and Kubernetes,https://github.com/bridgecrewio/checkov
Cloud,Terrascan,Static code analyzer for Infrastructure as Code,Security vulnerability scanning for Terraform,https://github.com/accurics/terrascan
Cloud,tfsec,Terraform static analysis tool,Security scanning for Terraform code,https://github.com/aquasecurity/tfsec
Cloud,kube-bench,Kubernetes security benchmarking tool,CIS Kubernetes Benchmark testing,https://github.com/aquasecurity/kube-bench
Cloud,kube-hunter,Kubernetes penetration testing tool,Discovering security weaknesses in Kubernetes clusters,https://github.com/aquasecurity/kube-hunter
Cloud,Falco,Cloud-native runtime security,Kubernetes threat detection and response,https://falco.org
Cloud,Trivy,Comprehensive vulnerability scanner for containers,Container image vulnerability scanning and security auditing,https://github.com/aquasecurity/trivy
Cloud,Anchore Engine,Container security and compliance platform,Container image scanning and policy enforcement,https://github.com/anchore/anchore-engine
Cloud,Clair,Container vulnerability static analysis,Container image security scanning,https://github.com/quay/clair
Cloud,Dagda,Static analysis of known vulnerabilities in docker images,Container security scanning and monitoring,https://github.com/eliasgranderubio/dagda
Cloud,Prisma Cloud (formerly Twistlock),Cloud native security platform,Container and cloud security protection,https://www.paloaltonetworks.com/prisma/cloud

# OSINT Tools
OSINT,Maltego,Interactive data mining tool that renders directed graphs for link analysis,Visual link analysis information gathering and reconnaissance,https://www.maltego.com
OSINT,theHarvester,Tool for gathering email accounts subdomains hostnames and open ports from public sources,Email harvesting subdomain enumeration and information gathering,https://github.com/laramies/theHarvester
OSINT,Recon-ng,Web reconnaissance framework with modules for information gathering,Automated reconnaissance and information gathering,https://github.com/lanmaster53/recon-ng
OSINT,SpiderFoot,Automated OSINT collection and reconnaissance tool,Footprinting and gathering intelligence about targets,https://www.spiderfoot.net
